,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,metascore,userscore
0,Wii Sports,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,76.0,8.1
1,Grand Theft Auto V,Action,Take-Two Interactive,23.46,23.04,1.39,8.03,55.92,96.8,8.120000000000001
2,Super Mario Bros.,Platform,Nintendo,32.48,4.88,6.96,0.99,45.31,,
3,Tetris,Puzzle,Nintendo,26.169999999999998,2.9499999999999997,6.029999999999999,0.69,35.84,82.5,7.4
4,Mario Kart Wii,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,82.0,8.5
5,Wii Sports Resort,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0,80.0,8.3
6,Pokemon Red/Pokemon Blue,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37,,
7,Call of Duty: Black Ops,Shooter,Activision,17.59,9.5,0.59,3.36,31.03,82.0,6.38
8,Call of Duty: Modern Warfare 3,Shooter,Activision,15.58,11.290000000000001,0.62,3.35,30.830000000000002,81.0,2.975
9,New Super Mario Bros.,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,89.0,8.5
10,Call of Duty: Black Ops II,Shooter,Activision,14.08,11.049999999999999,0.72,3.88,29.72,80.25,5.775
11,Wii Play,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,58.0,6.6
12,New Super Mario Bros. Wii,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,87.0,8.3
13,Duck Hunt,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31,,
14,Call of Duty: Ghosts,Shooter,Activision,14.92,9.049999999999999,0.48,2.92,27.38,72.83333333333333,3.3833333333333333
15,Super Mario World,Platform,Nintendo,15.989999999999998,4.86,4.49,0.75,26.07,,
16,Call of Duty: Black Ops 3,Shooter,Activision,11.889999999999999,9.559999999999999,0.43,3.42,25.32,,
17,Call of Duty: Modern Warfare 2,Shooter,Activision,13.52,8.11,0.46,3.01,25.09,91.33333333333333,6.033333333333334
18,Nintendogs,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76,,
19,Grand Theft Auto: San Andreas,Action,Take-Two Interactive,10.77,1.96,0.41,10.72,23.86,93.66666666666667,8.0
20,Minecraft,Misc,Microsoft Game Studios,10.82,8.85,1.15,2.93,23.73,93.0,8.1
21,Mario Kart DS,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,91.0,8.7
22,Pokemon Gold/Pokemon Silver,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1,,
23,Wii Fit,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,80.0,7.7
24,Super Mario Bros. 3,Platform,Nintendo,12.469999999999999,4.6899999999999995,4.67,0.66,22.48,,
25,Grand Theft Auto IV,Action,Take-Two Interactive,11.53,7.65,0.5800000000000001,2.73,22.47,95.33333333333333,7.633333333333333
26,Super Mario 64,Platform,Nintendo,11.99,5.96,3.16,1.21,22.310000000000002,94.0,8.55
27,Wii Fit Plus,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0,80.0,7.5
28,Call of Duty: Advanced Warfare,Shooter,Activision,10.44,8.18,0.34,2.93,21.9,80.66666666666667,5.5
29,Kinect Adventures!,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,61.0,6.3
30,Brain Age: Train Your Brain in Minutes a Day,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,,
31,The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,8.73,7.66,0.35,2.54,19.28,94.0,7.8999999999999995
32,FIFA 15,Sports,Electronic Arts,3.2,12.4,0.13,3.29,19.02,82.0,4.475
33,Pokemon Diamond/Pokemon Pearl,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,,
34,Call of Duty 4: Modern Warfare,Shooter,Activision,9.97,5.819999999999999,0.42000000000000004,2.05,18.25,88.75,7.875
35,Super Mario Land,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14,,
36,Battlefield 3,Shooter,Electronic Arts,8.2,6.49,0.41,2.27,17.36,86.0,7.533333333333334
37,FIFA 14,Sports,Electronic Arts,2.84,11.14,0.2,2.98,17.14,86.4,4.475
38,FIFA 16,Sports,Electronic Arts,2.98,11.29,0.11,2.05,16.44,82.33333333333333,3.96
39,Guitar Hero III: Legends of Rock,Misc,Activision,11.15,2.5900000000000003,0.04,2.64,16.400000000000002,83.0,7.9
40,Grand Theft Auto: Vice City,Action,Take-Two Interactive,8.41,5.5200000000000005,0.47,1.79,16.189999999999998,94.5,7.55
41,FIFA Soccer 13,Action,Electronic Arts,2.64,10.25,0.23,3.03,16.16,76.33333333333333,4.800000000000001
42,Call of Duty: World at War,Shooter,Activision,9.3,4.75,0.0,1.8299999999999998,15.87,82.0,7.5200000000000005
43,Pokemon Ruby/Pokemon Sapphire,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,,
44,LEGO Star Wars: The Complete Saga,Action,LucasArts,9.1,5.01,0.0,1.62,15.75,80.0,7.859999999999999
45,The Sims 3,Simulation,Electronic Arts,4.28,9.6,0.05,1.53,15.45,73.0,5.633333333333333
46,Pokemon Black/Pokemon White,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,,
47,Brain Age 2: More Training in Minutes a Day,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,77.0,7.1
48,Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,95.0,8.4
49,Pokémon Yellow: Special Pikachu Edition,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,,
50,Pokemon X/Pokemon Y,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,,
51,Need for Speed: Most Wanted,Racing,Electronic Arts,6.29,5.8500000000000005,0.18,1.76,14.08,73.0,5.9
52,Battlefield 4,Shooter,Electronic Arts,6.41,5.57,0.46,1.6,14.03,81.2,6.38
53,LEGO Batman: The Videogame,Action,Warner Bros. Interactive Entertainment,7.71,4.05,0.0,1.9,13.67,75.28571428571429,7.657142857142857
54,Donkey Kong Country,Platform,Nintendo,6.6000000000000005,2.91,3.59,0.43000000000000005,13.530000000000001,78.0,8.6
55,Mario & Sonic at the Olympic Games,Sports,Sega,4.22,6.38,1.1,1.49,13.2,68.5,7.35
56,Assassin's Creed IV: Black Flag,Action,Ubisoft,6.17,5.18,0.2,1.65,13.16,85.39999999999999,7.966666666666666
57,FIFA 12,Sports,Electronic Arts,2.08,8.5,0.15,2.41,13.15,,
58,Grand Theft Auto III,Action,Take-Two Interactive,6.99,4.52,0.3,1.3,13.11,95.0,7.8
59,Assassin's Creed III,Action,Ubisoft,6.24,4.93,0.19,1.74,13.1,83.5,6.875
60,Super Smash Bros. Brawl,Fighting,Nintendo,6.75,2.61,2.66,1.02,13.04,93.0,8.8
61,Red Dead Redemption,Action,Take-Two Interactive,6.49,4.58,0.26,1.6,12.94,95.0,8.95
62,Just Dance 3,Misc,Ubisoft,7.85,3.76,0.0,1.32,12.92,73.0,7.033333333333334
63,Destiny,Shooter,Activision,6.59,4.12,0.28,1.62,12.61,75.5,5.25
64,FIFA Soccer 11,Sports,Electronic Arts,1.94,8.01,0.09,2.51,12.56,77.33333333333334,6.642857142857143
65,Super Smash Bros. for Wii U and 3DS,Fighting,Nintendo,5.83,2.41,3.2199999999999998,1.0,12.469999999999999,,
66,Fallout 4,Role-Playing,Bethesda Softworks,5.42,5.04,0.25,1.57,12.28,86.33333333333333,6.333333333333333
67,Animal Crossing: Wild World,Simulation,Nintendo,2.55,3.52,5.33,0.88,12.27,86.0,8.5
68,Mario Kart 7,Racing,Nintendo,4.74,3.91,2.67,0.89,12.21,85.0,8.2
69,Halo 3,Shooter,Microsoft Game Studios,7.97,2.83,0.13,1.21,12.14,94.0,8.2
70,LEGO Indiana Jones: The Original Adventures,Action,Activision,6.82,3.23,0.0,2.03,12.05,77.66666666666667,7.766666666666667
71,Pokemon HeartGold/Pokemon SoulSilver,Action,Nintendo,4.4,2.77,3.96,0.77,11.9,,
72,The Legend of Zelda: Ocarina of Time,Action,Nintendo,6.129999999999999,3.16,2.07,0.45999999999999996,11.809999999999999,99.0,8.85
73,Star Wars Battlefront (2015),Shooter,Electronic Arts,5.0,4.88,0.24,1.58,11.7,,
74,Gran Turismo 4,Racing,Sony Computer Entertainment,3.01,0.01,1.1,7.53,11.66,89.0,8.8
75,Super Mario Galaxy,Platform,Nintendo,6.16,3.4,1.2,0.76,11.52,97.0,9.1
76,Assassin's Creed II,Action,Ubisoft,5.65,3.96,0.29,1.49,11.41,89.0,8.333333333333334
77,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,Nintendo,4.23,3.37,3.08,0.65,11.33,,
78,Assassin's Creed,Adventure,Ubisoft,5.199999999999999,4.4799999999999995,0.16,1.46,11.3,81.0,7.449999999999999
79,Grand Theft Auto: Liberty City Stories,Action,Take-Two Interactive,4.46,4.23,0.31,2.25,11.26,83.0,7.65
80,Batman: Arkham City,Action,Warner Bros. Interactive Entertainment,6.0200000000000005,3.68,0.15,1.33,11.2,93.66666666666667,8.766666666666667
81,Super Mario Land 2: 6 Golden Coins,Adventure,Nintendo,6.16,2.04,2.69,0.29,11.18,,
82,Diablo III,Role-Playing,Activision,4.87,4.54,0.21,1.44,11.08,87.0,5.733333333333333
83,Need for Speed Underground 2,Racing,Electronic Arts,5.21,4.41,0.09,1.25,10.97,74.0,8.125
84,Gran Turismo,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96.0,8.6
85,Super Mario 3D Land,Platform,Nintendo,4.89,2.99,2.13,0.78,10.79,90.0,8.4
86,Gran Turismo 5,Racing,Sony Computer Entertainment,2.96,4.88,0.81,2.12,10.77,84.0,7.8
87,FIFA Soccer 10,Sports,Electronic Arts,1.94,6.23,0.07,2.49,10.74,82.2,6.871428571428572
88,Super Mario All-Stars,Platform,Nintendo,5.99,2.15,2.12,0.29,10.55,,
89,The Last of Us,Action,Sony Computer Entertainment Europe,4.19,4.15,0.35000000000000003,1.83,10.54,95.0,9.2
90,Pokemon FireRed/Pokemon LeafGreen,Role-Playing,Nintendo,4.34,2.65,3.15,0.35,10.49,,
91,Need for Speed Underground,Racing,Electronic Arts,5.26,3.98,0.09,1.1400000000000001,10.46,82.0,8.3
92,Star Wars: The Force Unleashed,Action,LucasArts,5.32,2.9699999999999998,0.01,1.9100000000000001,10.23,69.0,7.083333333333333
93,Dr. Mario,Puzzle,Nintendo,4.800000000000001,1.56,3.52,0.30000000000000004,10.19,,
94,Guitar Hero: World Tour,Misc,Activision,6.21,2.23,0.0,1.65,10.08,,
95,Madden NFL 07,Sports,Electronic Arts,8.66,0.44,0.03,0.93,10.030000000000001,78.2,7.08
96,Fallout 3,Role-Playing,Bethesda Softworks,5.56,3.11,0.16,1.1099999999999999,9.959999999999999,91.33333333333333,8.200000000000001
97,Halo: Reach,Shooter,Microsoft Game Studios,7.03,1.98,0.08,0.78,9.88,91.0,8.4
98,Mario Kart 64,Racing,Nintendo,5.55,1.94,2.23,0.15,9.87,83.0,7.949999999999999
99,LEGO Marvel Super Heroes,Action,Warner Bros. Interactive Entertainment,4.41,4.14,0.08,1.23,9.86,81.0,7.783333333333334
100,New Super Mario Bros. 2,Platform,Nintendo,3.66,3.07,2.47,0.63,9.82,78.0,7.1
101,Zumba Fitness,Sports,505 Games,5.52,3.33,0.0,0.9400000000000001,9.79,,
102,Halo 4,Shooter,Microsoft Game Studios,6.63,2.36,0.04,0.73,9.76,87.0,7.1
103,Final Fantasy VII,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72,92.0,8.1
104,Just Dance 2,Misc,Ubisoft,5.84,2.89,0.01,0.78,9.52,74.0,7.2
105,FIFA Soccer 08,Sports,Electronic Arts,1.96,3.97,0.04,3.53,9.49,77.83333333333333,6.983333333333333
106,Gran Turismo 2,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.5,9.49,93.0,9.0
107,Watch Dogs,Action,Ubisoft,3.8,4.04,0.22,1.44,9.49,74.25,6.25
108,Assassin's Creed: Revelations,Action,Ubisoft,3.8000000000000003,3.9699999999999998,0.14,1.29,9.190000000000001,80.0,7.5
109,Animal Crossing: New Leaf,Simulation,Nintendo,2.01,2.32,4.36,0.41,9.09,88.0,8.7
110,Madden NFL 06,Sports,Electronic Arts,7.68,0.46,0.02,0.86,9.03,78.0,6.957142857142857
111,Pac-Man,Puzzle,Atari,7.550000000000001,0.53,0.85,0.1,9.03,62.0,6.9
112,Mario Party DS,Misc,Nintendo,4.46,1.88,1.98,0.7,9.02,72.0,7.9
113,Just Dance 4,Misc,Ubisoft,5.52,2.67,0.0,0.7300000000000001,8.93,73.5,7.625
114,Medal of Honor: Frontline,Shooter,Electronic Arts,4.390000000000001,3.3,0.17,1.07,8.91,,
115,The Legend of Zelda: Twilight Princess,Action,Nintendo,4.98,2.55,0.64,0.74,8.9,95.5,8.95
116,Super Mario Kart,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76,,
117,Resident Evil 5,Action,Capcom,4.08,2.4099999999999997,1.2000000000000002,1.0,8.69,79.4,7.359999999999999
118,Far Cry 4,Shooter,Ubisoft,2.8400000000000003,4.45,0.19,1.18,8.68,82.33333333333333,7.779999999999999
119,FIFA Soccer 09,Sports,Electronic Arts,1.7,4.02,0.08,2.86,8.67,83.5,7.133333333333333
120,Medal of Honor,Shooter,Electronic Arts,4.47,3.18,0.11000000000000001,0.85,8.61,78.25,7.425000000000001
121,Halo 2,Shooter,Microsoft Game Studios,6.83,1.59,0.05,0.1,8.59,83.5,7.449999999999999
122,Need for Speed: ProStreet,Racing,Electronic Arts,3.35,2.56,0.1,2.61,8.58,70.0,6.8
123,LEGO Harry Potter: Years 1-4,Action,Warner Bros. Interactive Entertainment,4.01,3.5,0.0,1.01,8.530000000000001,76.5,7.516666666666667
124,LittleBigPlanet,Platform,Sony Computer Entertainment,3.44,3.29,0.18000000000000002,1.5899999999999999,8.5,91.0,7.35
125,Wii Party,Misc,Nintendo,1.79,3.53,2.49,0.68,8.49,68.0,7.9
126,Pro Evolution Soccer 2008,Sports,Konami Digital Entertainment,0.27999999999999997,3.38,1.3,3.5100000000000002,8.47,75.5,7.133333333333333
