,Name,metascore,userscore
0,#IDARB,77.0,6.9
1,#KILLALLZOMBIES,58.0,6.05
2,'Splosion Man,84.0,7.7
3,'n Verlore Verstand,57.0,3.7999999999999994
4,.detuned,46.0,3.7
5,.hack//G.U. Last Recode,72.5,8.05
6,.hack//G.U. vol. 1//Rebirth,69.0,8.0
7,.hack//G.U. vol. 2//Reminisce,61.0,8.3
8,.hack//G.U. vol. 3//Redemption,60.0,8.7
9,.hack//Infection Part 1,75.0,8.3
10,.hack//Mutation Part 2,76.0,8.5
11,.hack//Outbreak Part 3,70.0,8.2
12,.hack//Quarantine Part 4,70.0,8.2
13,0 Day Attack on Earth,41.0,4.4
14,007 Legends,37.333333333333336,4.199999999999999
15,007 Racing,51.0,5.0
16,007: NightFire,59.0,6.1
17,007: Quantum of Solace,63.8,6.85
18,007: The World is Not Enough,81.0,7.9
19,007: The World is not Enough,61.0,6.8
20,0RBITALIS,73.0,7.2
21,1 vs. 100,38.0,5.5
22,10 Second Ninja,72.0,7.1
23,10 Second Ninja X,79.0,5.25
24,"10,000,000",67.0,7.1
25,100 Classic Books,70.0,6.5
26,1000 Tiny Claws,76.0,6.6
27,1001 Spikes,79.0,6.333333333333333
28,100ft Robot Golf,56.0,5.05
29,101 Ways to Die,65.5,6.3500000000000005
30,101-in-1 Explosive Megamix,31.0,3.9
31,1080: Avalanche,73.0,8.0
32,11-11: Memories Retold,75.66666666666667,7.1000000000000005
33,112 Operator,73.0,7.3
34,12 is Better Than 6,74.0,6.3
35,13 Sentinels: Aegis Rim,85.0,8.9
36,140,76.0,7.4
37,15 Days,63.0,4.8
38,1503 A.D. - The New World,74.0,7.6
39,1701 A.D.,79.0,7.9
40,18 Wheeler: American Pro Trucker,60.0,6.166666666666667
41,1849,60.0,5.5
42,187 Ride or Die,51.5,6.55
43,1942: Joint Strike,68.5,6.1
44,1954: Alcatraz,58.0,6.3
45,1971 Project Helios,60.0,6.733333333333333
46,1979 Revolution: Black Friday,75.0,7.1000000000000005
47,198X,68.5,5.95
48,1nsane,69.0,7.4
49,2 Fast 4 Gnomz,65.0,7.0
50,2002 FIFA World Cup,77.5,6.5200000000000005
51,2010 FIFA World Cup South Africa,76.0,7.5
52,2014 FIFA World Cup Brazil,73.5,4.8
53,2048,60.0,5.0
54,2064: Read Only Memories,75.66666666666667,3.6
55,20XX,78.0,7.133333333333333
56,24: The Game,62.0,7.9
57,25 to Life,39.666666666666664,5.866666666666667
58,2Dark,62.333333333333336,6.6000000000000005
59,3 on 3 NHL Arcade,65.0,7.05
60,3 out of 10: Season One,85.0,7.4
61,3 out of 10: Season Two,79.0,8.3
62,300: March to Glory,55.0,5.8
63,39 Days to Mars,68.5,4.7
64,3D After Burner II,81.0,7.8
65,3D Classics: Kid Icarus,77.0,7.4
66,3D Classics: Kirby's Adventure,77.0,7.9
67,3D Classics: TwinBee,68.0,7.3
68,3D Classics: Urban Champion,37.0,4.8
69,3D Classics: Xevious,56.0,5.8
70,3D Dot Game Heroes,77.0,7.8
71,3D Fantasy Zone,79.0,7.2
72,3D Fantasy Zone II W,81.0,7.0
73,3D Galaxy Force II,77.0,8.0
74,3D Gunstar Heroes,89.0,7.9
75,3D Out Run,87.0,7.9
76,3D Pixel Racing,45.0,6.6
77,3D Sonic the Hedgehog,81.0,8.1
78,3D Sonic the Hedgehog 2,87.0,8.2
79,3D Space Harrier,70.0,7.4
80,3D Streets of Rage II,89.0,7.7
81,3D Super Hang-On,76.0,7.2
82,3D Thunder Blade,74.0,7.2
83,3D Ultra MiniGolf Adventures,66.0,6.6
84,3Souls,49.0,6.9
85,4 Elements HD,65.0,7.5
86,428: Shibuya Scramble,85.0,8.3
87,4PM,41.0,4.2
88,4x4 EVO 2,61.333333333333336,7.033333333333332
89,4x4 Evolution,70.33333333333333,6.6000000000000005
90,50 Cent: Blood on the Sand,71.5,6.55
91,50 Cent: Bulletproof,48.5,6.1
92,50 Cent: Bulletproof G Unit Edition,52.0,4.4
93,60 Parsecs!,68.0,7.3
94,60 Seconds!,63.0,6.3
95,7 Days to Die,40.0,5.75
96,7 Grand Steps,69.0,6.9
97,7 Wonders II,60.0,6.2
98,7 Wonders of the Ancient World,55.5,7.15
99,7554,41.0,7.2
100,7th Dragon III Code: VFD,76.0,7.9
101,7th Sector,76.0,6.766666666666667
102,8-Bit Armies,72.66666666666667,7.2
103,8-Bit Hordes,63.0,5.25
104,80 Days (2005),58.0,7.5
105,80 Days (2015),84.0,7.3
106,80's Overdrive,70.0,7.3
107,88 Heroes,73.0,5.8
108,8BitBoy,64.0,5.0
109,8DAYS,62.666666666666664,5.900000000000001
110,9 Monkeys of Shaolin,71.33333333333333,7.2
111,911 Fire Rescue,48.0,7.0
112,911 Operator,68.0,5.3500000000000005
113,99 Levels To Hell,66.0,7.2
114,99Vidas,65.0,7.3
115,A Bastard's Tale,48.0,5.5
116,A Bird Story,66.0,7.0
117,A Boy and His Blob,70.66666666666667,7.3999999999999995
118,A Case of Distrust,77.0,5.8
119,A City Sleeps,61.0,6.2
120,A Druid's Duel,70.0,6.8
121,A Fisherman's Tale,74.0,5.550000000000001
122,A Fistful of Gun,60.0,7.1
123,A Fold Apart,75.5,6.900000000000001
124,A Game of Dwarves,60.0,6.4
125,A Game of Thrones: Genesis,53.0,4.1
126,A Golden Wake,68.0,6.0
127,A Hat in Time,77.33333333333333,8.333333333333334
128,A Juggler's Tale,74.0,8.3
