,Name,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
0,Wii Sports,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74
1,Grand Theft Auto V,Action,Take-Two Interactive,23.46,23.04,1.39,8.03,55.92
2,Super Mario Bros.,Platform,Nintendo,32.48,4.88,6.96,0.99,45.31
3,Tetris,Puzzle,Nintendo,26.169999999999998,2.9499999999999997,6.029999999999999,0.69,35.84
4,Mario Kart Wii,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82
5,Wii Sports Resort,Sports,Nintendo,15.75,11.01,3.28,2.96,33.0
6,Pokemon Red/Pokemon Blue,Role-Playing,Nintendo,11.27,8.89,10.22,1.0,31.37
7,Call of Duty: Black Ops,Shooter,Activision,17.59,9.5,0.59,3.36,31.03
8,Call of Duty: Modern Warfare 3,Shooter,Activision,15.58,11.290000000000001,0.62,3.35,30.830000000000002
9,New Super Mario Bros.,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01
10,Call of Duty: Black Ops II,Shooter,Activision,14.08,11.049999999999999,0.72,3.88,29.72
11,Wii Play,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02
12,New Super Mario Bros. Wii,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62
13,Duck Hunt,Shooter,Nintendo,26.93,0.63,0.28,0.47,28.31
14,Call of Duty: Ghosts,Shooter,Activision,14.92,9.049999999999999,0.48,2.92,27.38
15,Super Mario World,Platform,Nintendo,15.989999999999998,4.86,4.49,0.75,26.07
16,Call of Duty: Black Ops 3,Shooter,Activision,11.889999999999999,9.559999999999999,0.43,3.42,25.32
17,Call of Duty: Modern Warfare 2,Shooter,Activision,13.52,8.11,0.46,3.01,25.09
18,Nintendogs,Simulation,Nintendo,9.07,11.0,1.93,2.75,24.76
19,Grand Theft Auto: San Andreas,Action,Take-Two Interactive,10.77,1.96,0.41,10.72,23.86
20,Minecraft,Misc,Microsoft Game Studios,10.82,8.85,1.15,2.93,23.73
21,Mario Kart DS,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42
22,Pokemon Gold/Pokemon Silver,Role-Playing,Nintendo,9.0,6.18,7.2,0.71,23.1
23,Wii Fit,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72
24,Super Mario Bros. 3,Platform,Nintendo,12.469999999999999,4.6899999999999995,4.67,0.66,22.48
25,Grand Theft Auto IV,Action,Take-Two Interactive,11.53,7.65,0.5800000000000001,2.73,22.47
26,Super Mario 64,Platform,Nintendo,11.99,5.96,3.16,1.21,22.310000000000002
27,Wii Fit Plus,Sports,Nintendo,9.09,8.59,2.53,1.79,22.0
28,Call of Duty: Advanced Warfare,Shooter,Activision,10.44,8.18,0.34,2.93,21.9
29,Kinect Adventures!,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82
30,Brain Age: Train Your Brain in Minutes a Day,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22
31,The Elder Scrolls V: Skyrim,Role-Playing,Bethesda Softworks,8.73,7.66,0.35,2.54,19.28
32,FIFA 15,Sports,Electronic Arts,3.2,12.4,0.13,3.29,19.02
33,Pokemon Diamond/Pokemon Pearl,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36
34,Call of Duty 4: Modern Warfare,Shooter,Activision,9.97,5.819999999999999,0.42000000000000004,2.05,18.25
35,Super Mario Land,Platform,Nintendo,10.83,2.71,4.18,0.42,18.14
36,Battlefield 3,Shooter,Electronic Arts,8.2,6.49,0.41,2.27,17.36
37,FIFA 14,Sports,Electronic Arts,2.84,11.14,0.2,2.98,17.14
38,FIFA 16,Sports,Electronic Arts,2.98,11.29,0.11,2.05,16.44
39,Guitar Hero III: Legends of Rock,Misc,Activision,11.15,2.5900000000000003,0.04,2.64,16.400000000000002
40,Grand Theft Auto: Vice City,Action,Take-Two Interactive,8.41,5.5200000000000005,0.47,1.79,16.189999999999998
41,FIFA Soccer 13,Action,Electronic Arts,2.64,10.25,0.23,3.03,16.16
42,Call of Duty: World at War,Shooter,Activision,9.3,4.75,0.0,1.8299999999999998,15.87
43,Pokemon Ruby/Pokemon Sapphire,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85
44,LEGO Star Wars: The Complete Saga,Action,LucasArts,9.1,5.01,0.0,1.62,15.75
45,The Sims 3,Simulation,Electronic Arts,4.28,9.6,0.05,1.53,15.45
46,Pokemon Black/Pokemon White,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32
47,Brain Age 2: More Training in Minutes a Day,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3
48,Gran Turismo 3: A-Spec,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98
49,Pokémon Yellow: Special Pikachu Edition,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64
